Urdu,Roman Urdu
چوما,chuma
اچھا,acha
واپس,wapis
ہونی,honey
الٹا,ulta
لالہ,lala
بسانا,basana
زین,zain
هیر,here
سپیڈ,speed
لیتا,leta
5,5
انشاء,insha
پھیلانا,phelana
مو,mobile
آسیب,aasaib
انٹرسٹد,interested
باتيں,baatein
کن,kn
فقروں,faqiron
گھس,ghus
وہاں,wahan
غافل,ghafil
کراؤ,karao
کہتی,kahti
لالی,lali
سوگ,sog
ٹھیک,thek
حیدرآباد,hyd
نوس,news
ٹييسڈے,tuesday
انڈا,anda
الونرائیڈر,alone
آنس,ans
قوین,queen
کھلی,kholi
تھرسٹ,thirst
لوڈ,load
پہنانا,pehnana
نوٹ,not
مشتاق,mushtaq
تصوير,tasweer
رنگوں,rangon
عبدللہ,abdullah
پنج,panjtani
برف,barf
الجھنوں,uljhano
تسلیم,tasleem
فصیح,faseeh
بخشی,bakhshi
وبٹين,obtain
بتاوں,btaon
بیچنے,bechny
فونز,funz
کي,keke
فون,ufone
ہستیاں,hastiyan
تیار,tayar
ہارنے,harnay
تمھارے,tmhary
ملتان,multan
کھلتے,khiltay
کھو,kho
بنتا,banta
جیسا,jaisa
حواس,hawas
سونگ,song
هاے,hi
ارض,arz
گول,gol
طبعیت,tbiyt
اسکو,usko
بہاروں,bahaaron
باربی,barbie
دوٹ,idot
دوسرا,doosra
قصور,kasor
ڈھونڈا,dhoonda
ہیٹ,het
آٹا,atawo
دکھانے,dikhane
ماضی,maazi
چوڑیاں,chore
چانس,chance
رکھنا,rakhna
ٹين,ten
عیدین,aridian
ورٹھ,worthless
تم,tm
کھلتا,khilta
راذا,raza
انداز,andaz
سمرتی,smarty
لمبی,lambi
رضوان,rizwan
لگی,lagi
نینی,niny
پشتون,pashtoonpa
سایہ,saya
اکسيپٹانس,acceptance
بريسٹ,breast
خوبی,khoobi
گاؤں,gaoon
لگاؤ,lagao
دے,de
مسالے,msaly
مزاق,mazak
بهای,bhai
گي,ge
حیرت,hyrat
وادے,wade
ادھار,udhar
بکھری,bikhri
میٹرو,mitro
کبھی,kabhi
جوتے,jotey
گاڑی,gari
روشنی,roshni
يسياللي,usually
کوکو,koko
ٹشرٹ,tshirt
شاباش,shabash
پیاری,pyari
رومانٹک,romantic
پحيسکال,physical
حانڈ,hand
کردو,krdo
شیشے,sheeshay
سيراوس,serious
اد,add
اللاہ,allah
التجا,iltija
پينسل,pencil
سیس,sis
الفاظ,alfaz
تمی,time
ٹھہر,thehre
ڈیٹیل,details
پروانہ,prwana
ماس,mass
نبھا,nibha
خشبو,khushbo
دلاسا,dilasa
سیل,cel
جھوٹ,jhoot
کویٹا,quetta
چھور,chhor
مخلص,mukhlis
سوے,soe
ٹایم,time
دگنا,dugna
جانتا,janta
هوی,hui
سرخ,surkh
انگلش,english
یقین,yaqeen
س,s
پرت,prat
سوپر,super
تھکا,thaka
گلاس,glass
اتار,utar
انہوں,unhon
ساتھ,sath
زمبابوے,zimb
جاری,jari
زرد,zard
صوبے,sube
ابانڈانس,abundance
است,asit
ڈانس,dance
دھماکہ,dhamakha
لکھوں,likhun
پاشا,pasha
آدم,adam
بٹھورو,bathoro
نشے,nashe
ترت,trat
قسمیں,qasmein
دیدار,didaar
پویٹری,poetry
نامہ,nama
اطاعت,itaaat
لاگ,lag
علمی,almi
ستایا,sataya
آف,of
شعبان,shabnam
نوکر,naukar
شور,shor
ٹهندر,thunder
مافیا,mafia
ڈريس,dress
کچ,kuch
ڈھلتی,dhalti
لگیں,lagain
انهیں,inhain
وني,one
جامی,jami
کوک,quick
چل,chal
سامسنگ,samsung
قادری,qaadri
طالبان,taliban
کنڈی,kundi
ريسي,raise
اشک,ashk
کاٹو,kato
پڑی,pari
معني,manee
گالیاں,galian
ج,jaan
طرفدار,tarafdar
واقعی,waqai
سکی,saki
پروبليم,problem
فوار,four
حوصلے,hosly
سکے,sake
بسر,basr
اذان,azaan
جینے,jeene
کوم,com
کھلا,khila
سویٹ,sweet
زارا,zara
پانے,pane
پھینکتے,phenkte
چوپال,chopaal
ٹوينٹي,twenty
بجا,bja
غاصب,ghasib
اٹ,it
زون,czone
دوا,dua
تلاوت,talawt
نیہ,ne
ليگل,legal
سات,saat
ساڈ,sad
ورلڈ,world
سمجھتی,samajhti
آڑ,aar
بھرا,bhara
مرنا,mrna
سٹوڈنٹس,students
روف,roof
میم,mem
اپرل,april
هیں,hain
بکھرا,bikhra
پیام,peyam
کنڈنيس,kindness
یهاں,yaha
والو,walo
ھی,hi
سندھی,sindhi
آنکھیں,ankhain
بهر,bhar
روٹي,roti
بدنام,badnam
حيلپ,help
ييللو,yellow
انہیں,unhen
میٹنگ,meetingpoint
مک,mk
سگن,sign
يکيال,equal
طوطے,totay
دونو,dono
نگاہوں,nigahon
ٹرک,truck
مان,maan
ریکویسٹ,request
اماذنگ,amazing
نيپال,nepal
ٹوموررو,tomorrow
جو,jo
فورم,form
پنڈی,pendi
احترام,ehataram
اکرام,ikram
لایوو,live
جاگتا,jagta
18,18
ہورہا,horaha
زویا,zoya
کیسا,kesa
ہادی,hadi
جھل,jhal
کھانا,khana
بور,bor
لوٹ,lot
حيرٹ,heart
بدولت,badulatwarna
پہچان,pehchaan
اتر,utar
پڑھ,parh
نصیب,naseeb
شیٹ,sheet
سٹانڈارڈ,standard
ہماری,hamari
اچار,achar
مسٹری,mystery
هوتی,hoti
اپکا,apka
کار,car
ڈرنک,drink
٣٠,30
جلیں,jalen
شاہ,shah
بانڈ,bandh
گيارانٹر,guarantor
راتیں,raatain
بھرپور,bahrpoor
رکھی,rakhi
پلکیں,palkain
ریاض,riazs
روتھ,roth
موجودہ,mojooda
کرا,kara
انار,anarkali
ساٹھ,saath
ريٹيرن,return
ظرف,zarfk
بولے,bolay
اوج,arooj
ماضي,mazee
سایا,sayanafrat
ولی,waliullah
توقیر,toqeer
ميحامماڈ,muhammad
بلوا,bulwaon
خلوت,khalwat
لالے,laale
بہی,b
سپنا,sapna
اطمینان,itminan
جاؤ,jao
شب,shab
اررے,array
نیک,nick
کمالیہ,kamalia
رینی,rainy
جھولے,jhooly
شیوا,shewa
انس,ans
ديکھ,dekh
ثبوت,sabot
لاریب,lareb63
کوٹا,quota
حسان,husan
خان,khan
چلتے,chalte
ضبط,zabt
هوا,hua
شکیل,shakil
دخل,dakhl
اپنا,apna
آییں,aain
سینا,cenashahzadi
جلد,jaldi
تيسرا,teesra
وبا,oba
انسٹانٹ,instant
ہنسی,hansi
ڈارلنگ,darling
رکھتا,rakhta
اینا,aeyna1
ہرا,hera
ڈھل,dhal
جھکا,jhuka
آو,ao
احمد,ahmed
نانا,nana
انصاف,insaf
سانول,sanwal
خوشبو,khushbo
دروازا,darwaza
نشتر,nishter
جانب,janibemanzil
مغز,maghz
آے,ae
اسلامیان,islamianstars
کاٹوں,kanto
مورننگ,morning
کھولے,chole
نيڈ,need
دھماکا,dhamaka
٢٤,24
همنشیں,hm
اندازہ,andaza
رين,rain
لا,la
پاوں,pao
ڈالا,dala
خالی,khali
بندگی,bandgi
بندوں,bndon
حوار,hour
وعلیکم,w
بہل,behl
ايگيسٹ,august
پکا,paka
ڈيسيمبير,december
آؤ,ao
میٹھا,metha
قرآن,quran
مزدوری,mazduri
کھویا,khoya
شی,shi
الجھ,ulajh
هنی,honey
نومن,noman
سستی,sasti
دانیال,danial
کھلونا,khilona
اسامہ,usama
انکا,unka
کيلڈ,could
ڈاریکٹ,direct
مانگ,maang
افق,ufaq
گناہ,gunah
الٹی,ulti
نے,ne
شم,sham
لانچ,lanch
میرٹ,meri
جنکو,jinko
دانی,dani
فراق,firaq1
ہمیشہ,hamesha
زلفیں,zulfain
پاو,pao
اسپيکٹ,aspect
شرجیل,sharjel
کروڈ,crowd
کروگے,kro
جانباز,janbaz32
دیکھتا,dekhta
سویا,soya
پھیر,pher
نمازوں,nimazo
دوں,doon
واسطے,wastay
دود,dod
راؤ,rao
فیری,fairy
پؤیٹری,poetry
ترمزی,tirmizi
کھلاتے,khilate
وفٹين,often
بچا,bacha
لوسي,loose
ملا,mila
یارو,yaro
سبحان,subhan
فروم,from
کے,k
سٹوڈنٹ,student
معروف,masroof
ٹارزن,tarzan
هوبی,hobby
اتاری,attari
لمحے,lamhe
کریٹ,create
کانا,kana
جوتیوں,jotioon
بابو,babu
بھیڑ,bheer
٥,5
بوي,boy
زوہیب,zuhaib
سمایل,smile
آپکا,apka
واسی,wasi
سلیمان,sulaiman
جیتے,jeete
لگان,lga
سندھو,sindhu
ہتھیلی,hatheli
ڈالو,dalo
ہوگا,hoga
کتنی,kitni
انجوائے,enjoy
سیتا,seet
ڈیپارٹمنٹ,department
بتلا,batla
رواج,rawaj
پالتو,paltu
ثاقب,saqib
دلا,dila
رچ,rechilli
ڈوبی,dubi
کمل,kml3
روانی,rawani
اپنوں,apno
ہمارا,hamara
وابستگی,wabastgi
رکهتا,rakhta
کچہ,kuch
پاؤ,paaon
ڈیپ,deepfriends
ٹيپي,type
وک,ok
هون,hon
کھول,khol
لگتے,lagte
بناتا,banata
فیل,fail
پیٹ,pait
آمنہ,amna
جھانک,jhank
ریسٹ,rest
فاین,fine
میر,meri
اسی,usi
تاریکی,tareeki
تعلق,taluq
نفس,nafs
کہاں,kahan
امی,ami
کسنے,kisne
کرب,krb
تولل,toll
انفرادی,infaradi
روش,rosh
عقیل,aqeel
جھگڑا,jahgra
پيرپوسي,purpose
واک,awake
اتے,ate
چلتا,chulta
کشمش,kishmish
فدا,fida
چاہت,chahat
سوگوار,sogawar
دیکھیں,deikhen
انشاللہ,insha
امِ,um
لیں,len
بادشاہ,badshah
اے,e
مرحبا,marhaba
چلو,chalo
انوکھا,anokha
سکول,school
وحید,waheed
جان,jan
دوران,doraan
بی,b
برتھڈے,birthday
بدلی,badli
ہجر,hijr
سچے,suche
ڈیر,dear
ہرو,hru
کيوں,keyo
وارد,warid
وے,way
بولبو,bolo
بڑا,bara
سمس,sms
ماموں,mamu
ميمٹاذ,mumtaz
شرلی,shurli
لاسٹ,last
اشارے,isharay
بھیجوں,bhejoon
٣١,31
حيرو,hero
ورڈير,order
یخ,yakh
دنگ,dangr
سویاں,soyen
پہلا,pehla
سهارا,sahara
ڈاکو,daku
کرل,kral
گناہوں,gunahon
رقیسٹ,request
مسلمانوں,musalmano
کاج,kaj
تھک,thak
مما,mama
لفي,life
ھمیں,hamain
اسلامی,islami
دکھو,dekho
امین,ameendil007
ملاح,malahhhhhh
اند,and
جیا,jia
فير,fear
تمیز,tmez
بھن,behn
عرصہ,arsa
سیدھا,seeda
ہاتھی,hathi
کامیابی,kamyabi
شیدائی,shedai
کھلونوں,khilonon
جھگڑے,jhagre
گیا,gya
ا,a
تا,ta
دست,dost
لکین,lekin
راہی,rahi
جہاد,jahad
مومن,momin
بنگلہ,bngla
مارکيٹ,market
ھوتی,hoti
یت,it
ساگر,sagar
گلوم,gloom
عطا,atta
کرٹ,karta
مارنا,marna
تھو,tho
بلوم,bloom
جانا,jana
جلتے,jalte
چورا,chura
بگاڑا,bagara
کھاتا,khata
بم,bm
کھونا,khona
منصوبه,mansooba
لحاظ,lehaz
پليسير,pleasure
چوٹی,choti
رویا,roya
پلا,pila
تولیہ,tolia
عشاء,ishaa
ڈالے,dalay
انجونے,enjoy
ارگيمنٹ,argument
راہیں,rahen
سنو,suno
سردی,sardi
قرب,qurb
زمیں,zmen
بوڑھا,boorrha
انحابٹڈ,inhabited
وارک,warkatal
ملتی,milti
گناہگار,gunahgar
گندی,gandi
گھڑی,ghari
بغداد,baghdad
سٹوني,stone
سکھانا,sikhana
نامعلوم,namalom
تپیش,tapish
کوکلي,quickly
الطاف,altaf
موڑ,morr
سورری,sorry
زلفوں,zulfon
همیں,hme
اٹھانے,uthane
گ,g
نکالو,nikalo
موٹی,moti
آسک,ask
گردن,grdin
ڈمپ,dump
جسموں,jismoon
رونے,ronay
جاگتے,jagte
فاحم,fahim
خد,khud
شکایات,shikayat
ہیلپ,help
تقدیریں,taqdeerain
فرحاں,farhan
تتلیاں,titliyan
بوريڈ,bored
سکنا,sakna
خدیجہ,khadija
حامد,hamid
ہونے,hone
کافروں,kafro
ميشارراف,musharraf
سکھ,sekh
دید,deed
ھوٹ,hot
زیب,zaib143
پیاروں,pyaron
مکھن,makhn
حنا,hina
ریلی,rely
نکلی,nikli
صورت,surat
پاکستان,pakistan
لیجا,leja
انقلاب,inqalaab
ينڈ,end
چور,choor
انمول,anmol
حضور,hazoor
ڈھال,dhal
بہترین,behtaren
بکھرنے,bikhrne
تنولی,tanoli
سمجھا,samjha
پانا,pana
بہو,baho
فوزیہ,fozia
غلطی,galti
جدوں,jadon
زیدی,zaidi
سمیرا,sumaira
تعداد,tadad
پاسا,pasa
بلانک,blank
فاکي,fake
سينا,seena
انت,ent
روکے,roky
برا,bura
جاگے,jagaey
فتوحات,fatohat
رپلی,reply
کاری,karti
ہار,har
ها,ha
ہستی,hasti
فیصلے,fesle
شکایت,shikayat
باپ,baap
فرانک,frank
بدلا,badla
طوطی,toti
گنا,guna
جروا,jurwa
مانگتے,mangtay
بکی,bki
شعیب,shoaib
آوے,away
دھل,dhal
خلق,khulq
مونگ,mong
١٧٠٠,1700
لعنتی,lanti
فراز,faraz
پرندوں,parindon
تنو,teno
جنگل,jungle
پنو,pnuawan2310
چکر,chakr
مرغی,murghi
چیتا,cheeta
پیرو,piaro
اپریل,april
مجاہد,mujahid
دیجیئے,dijia
فيبرياري,february
ليس,less
چيز,chez
گولڈن,goldn
جیس,jese
ابرار,ibrar
نخرے,nakhre
مرے,mre
بھیجیں,bhaijan
دلال,dalal
وارث,waris
ملنے,milne
پیارے,pyare
بلوڈ,blood
بالڈ,bald
چورنگی,chorangi
ينيمي,enemy
باتیں,baten
جھیل,jheel
فوت,footpath
کوڑے,korray
ک,k
مسافت,musafat
پیچے,pechy
سلينس,silence
ثواب,swab
بھلایا,bhulaya
چیر,cheer
ڈریم,dream
ارٹ,art
مواقع,mawaqay
نمب,numb
حاررس,harris
احتجاج,ehtjaj
نہا,naha
لاش,lash
حوکيي,hockey
لابی,labi
فرما,farma
فری,free
گدھا,gadha
اک,ik
بيٹھ,baith
آتی,ati
پڑھتی,parhti
ساتھی,sathi
سلگتے,sulagte
جنہوں,jinho
بھیجتی,bheje
کیسے,kese
سونی,soni
ظرور,zaror
تربیت,trbiat
فوٹ,foot
فنک,funkar
کرتے,karte
سجدوں,sajdon
لگا,laga
کوا,kawa
آزمانے,aazmane
ہوٹل,hotel
ہیرے,heere
مایا,maya
بیوی,biwi
سوک,sok
قاسی,qasi
خیریت,kheriyat
بڑوں,baron
پاکی,paki
انکی,unki
گپتا,gupta
ہوگیا,hogya
وام,wam
پیروں,pairon
والی,wali
مرتا,marte
فانی,fani
کرک,circket
زمانے,zamane
پھرتے,phirtay
آباؤ,abao
پینے,peeney
سعودی,saudi
اسکی,uski
تاکے,take
زما,zama
پتا,pata
لات,lath
مسکین,maskean
رہتی,rehti
طریقوں,tariko
حوصلوں,hosloon
بھا,bha
زبیدہ,zubaida
شرت,shart
سفیان,sufyan
نور,noor
اپیل,appiel
سٹی,city
بجھی,bujhi
یادِ,yaad
بیل,bell
حبس,habs
لامب,lamb
کونسا,konsa
گیسٹ,guest
موبایل,mobile
آن,on
ففٹي,fifty
سيپٹيمبير,september
شیا,shea
علینہ,alina
ڈیڈی,dydy
کوفی,cofi
پھر,phir
پرانی,purani
منڈا,mundaø
ڈنگر,dngr
ٹھکانہ,thikana
احتساب,ahtisab
لڑے,laray
بہ,b
پیچھا,peecha
خالد,khalid
ليرن,learn
ڈوڈ,dod
رکھتے,rakhtay
جاگو,jagoo
مصروفیت,masroofiyat
صبا,saba
لگایا,lagaya
لفٹ,lift
بچ,bach
بييٹفيل,beautiful
پکڑو,pakro
ديتا,deta
کرنير,corner
پاکستانیوں,pakistanio
منا,mana
پلاسٹک,plastic
پروں,paron
پوچھو,pocho
لوٹا,lauta
ٹوٹکا,totka
سنده,sindh
زیادہ,ziada
امامت,imamat
صدا,sada
کیوں,q
مین,main
کونٹینو,continue
پتھروں,pathron
کرونگا,karo
ہول,whole
سمجھے,smjhe
پرنسس,princes
لڑنا,lrna
زونگ,zong
عین,ain
رہوگے,rhoge
بھلا,bhula
ملاتا,milata
توڑ,tor
چوم,choom
آزماتے,aazmaty
وربٹ,orbit
چابی,chbi
بابي,baby
گی,gi
الون,alone
جانو,jano
اڈمرل,admiral
بارشوں,barishon
آءے,aye
آغوش,aghosh
گزارا,guzara
لفی,life
لگتا,lagta
ریپلائ,reply
مہنگا,mehnga
ھوتے,hote
بھیج,bhej
گزارنا,guzaarna
جگانے,jaganay
دراصل,darasal
تها,tha
لوٹس,lots
ماسی,masi
ملتا,milta
احميڈ,ahmed
گلے,galay
دونے,donay
معذرت,mazrat
بہروں,behron
بیٹھا,betha
سمجھی,smjhi
ہٹنے,hatne
بالٹی,balti
مسکرانے,muskrany
ہ,ha
بغیر,bagair
مارٹ,smartpoetry
پیدا,peda
هوٹ,hot
روک,rok
شرکت,sharkit
کھینچی,khainchta
مقصود,maqsood
ناسمجھ,na
رخ,rukh
خیرات,khaerat
ما,ma
ينٹر,enter
مجھے,mujhe
نبھانے,nibhane
گزری,guzrifaraz
امیدیں,umeedein
یادوں,yadon
کرنے,krne
رکے,rukay
بچنا,bachna
بھیگی,bheegi
سرے,sare
بچیاں,bachiyan
ارٹفکال,artificial
کھانے,khane
کھلونے,khilonay
افسردہ,afsorda
مار,mar
باتوں,baton
انگریز,engrz
پڑھا,parha
آلو,aaloo
ببلو,babloo
نہایت,nehayet
فاحاڈ,fahad
خر,khr
گرا,gira
ہاللو,hello
درود,darood
ناسور,nasoorjazb
ور,or
کھيل,khel
دی,di
رور,ror
ہیر,here
جسے,jisay
آغا,agha
لاج,laj
سوری,sory
گرنے,girne
شہزادہ,shahzada
جھوم,jhom
ذونگ,zong
جذباتی,jazbati
لکھ,likh
حے,hai
پويم,poem
اونی,aouni
دھیرے,dheere
غریبوں,gharibon
قیام,kiam
آریان,areyan
جاے,jaye
تھی,thi
گهڑ,ghar
بريڈ,bread
شٹ,shut
اندھر,andr
زہرا,zahra
تمہیں,tumhe
ایسے,aisay
جوک,joke
تھوڑ,thori
سٹرونگ,strong
شاہی,shahi
ویلکیم,welcome
سوچنے,sochne
اسسينسون,ascension
آزما,aazma
حکومت,hkomt
سوچتی,sochti
ویٹ,wait
تھنکس,thanks
شرک,shrk
وں,un
شک,shak
سٹي,city
ٹو,to
ہونٹ,hont
گرد,grd
ٹپس,tips
کلمات,kalmat
کیں,q
رونا,rona
فلمیں,flmn
جوس,juice
ليں,lain
بولنا,bolna
بکنے,biknay
نکوٹین,nicotinesms
پہلی,pehli
والد,walid
خبروں,khabron
ومار,omar
فريڈوم,freedom
کرواتا,karwata
سیریس,seri0us
تبدیلیاں,tabdeeliyan
حوا,hawa
رکھا,rakha
مستونگ,mastung
گنورانٹ,ignorant
کلاس,clas
پروپيرٹي,property
دبی,dubai
آنٹ,aunt
باسي,base
هی,hi
سیرت,seerat
ادو,idot
ہوتے,hote
کباب,kababs
دانس,dance
چلاؤں,chlaon
مینا,mena£siom£
دیش,desh
فورڈ,frwrd
راچ,rich
بٹھاو,bithao
یومی,yummi
بریکر,breaker
شوي,shoe
پھٹ,phat
قاد,qadir
افتخار,iftakhar
جنناح,jinnah
جما,jama
محال,mohal
سليپ,sleep
بنگو,bingoo
ٹورنامنٹ,tournament
مانو,mano
رنگین,rngin
بنگالی,bangali
روپے,rupy
راستہ,rasta
هوں,hun
دوستی,dosti
ہیلو,hello
مہا,maha
مجبورا,majburam
انڈير,under
ساته,sath
ریپلائی,reply
کہنا,kehna
آسمانی,aasmani
پناہ,panah
ہنسنا,hansna
خط,khat
تيز,tez
فات,fat
روہی,rohi
بوریت,boryat
ندا,nida
سوچنا,sochna
مکھی,makhi
کاظمی,kazmi
مزا,maza
احساسات,ihsasat
وٹس,wts
بڑھ,barh
حاجی,haji
موٹو,motu
اککور,acquire
حيڈ,head
پيريلي,purely
ریڈ,reed
جانور,janwar
وارسا,warsa
تھے,thay
ہیڈ,head
ہونٹوں,honton
چکے,chuke
سگے,sege
اسدولاه,asadullah
کربلا,karbala
شفقت,shafqat
آل,all
ہوجاتا,hojata
اداسی,udasi
جام,jaam
فیضان,faizan
11,11
انصاری,ansariboys
انجو,anjo
لونگا,lungagirl
دربان,darbanaisey
بانو,baano
واہ,wah
مغفرت,maghfrat
اپنانے,apnanay
چرچا,charcha
افغان,afghan
ناپ,nap
بھأي,bhai
انک,ink
محرومی,mehroomi
تھوڑے,thore
وسیم,wasim
جلانے,jalanay
عراقی,iraaqi
سام,sam
دیکها,deka
کاشان,okkashan
صارف,user
بلکه,blky
ترازو,tarazo
بکھرے,bikhre
کسا,coca
کاہے,kahey
وچ,kuch
ہاۓ,hi
سجا,saja
افضل,afzal
انڈيرنيتھ,underneath
رابطہ,rabta
دکھ,dukh
موحامماڈ,mohammad
قریشی,qureshi
اسکول,iskool
موڈ,mood
ميری,meri
ذلیل,zaleel
ھنی,honey
بند,band
رازی,razi4u
نایس,nice
فلم,film
ماری,marikese
کوڈ,code
سختی,sakhti
نال,nal
بھائی,bhai
تکتے,tktey
ریپلاۓ,reply
جیسے,jese
بای,bi
کانچ,kaanch
۵,5
زوق,zowq
سنگا,snga
اسلام,assalam
سما,samaa
آنگن,angan
فضیل,fuzail
آمر,aamir
ریل,real
کول,cool
سٹوري,story
روٹی,roti
ليتے,laitay
گفٹ,gift
کی,ki
روز,roz
تؤ,to
چاہا,chaha
دوسری,dosri
رہا,raha
ذرا,zra
لانا,lana
کیتا,keeta
راستے,rastay
گجرانوالہ,gujranwala
2,2
فريش,fresh
گھنٹے,ghante
جانتی,janti
رومان,romaan
ستارے,sitare
شہزاد,shahzad
بنای,bnai
پیروی,pairwi
سجایا,sajaya
پروگرامر,programmer
چیزیں,cheezen
موحامميڈ,mohammed
ٹاگ,tag
پیسے,paise
آوازیں,awazen
آفر,ofer
چڑھاؤ,charhao
آرمی,army
اپپيل,appeal
کرواؤں,krwao
چاۓ,chay
معصومیت,masoomiyat
بڑھا,barha
لے,le
ہمیش,hamesha
دوری,doori
ابتو,ab
ھو,ho
تعرف,taraf
ای,i
چاہی,chahye
سمجھدار,smjhdar
پيرسون,person
عقل,aqal
بتاؤ,btao
ہوجا,hoja
اسس,is
مغرب,mghrb
٢٠٠,200
زیر,zer
خوب,khoob
ہمارے,hamare
واٹس,whats
ہوشی,khoshi
سرمایا,sarmayae
اچھی,achi
شيٹ,shet
چاٹ,chat
لوند,londy
جنوں,junoon
برستی,barasti
افراد,afrad
رخی,rukhi
منی,mani
الگ,alag
فضیلت,fazeelat
اکڑ,iccr
پلانيٹ,planet
تھا,tha
روکیں,rokyn
خودکشی,khudkushi
پلايير,player
فش,fish
بستا,basta
یعنی,yani
بھوک,bhok
عراق,iraq
اندھیروں,andheron
پڑو,prho
پورے,pore
ٹرسٹ,trust
حقیر,haqeer
تارا,taraadub
ہمیں,humain
سراج,siraj
شیرو,sherwani
آرہا,araha
چکی,chuki
سینٹینس,sentence
سنگھ,singh
دہاڑے,dihaaray
جرا,jera
لٹا,lutai
اداکار,adakaar
پینٹ,paint
طبیعت,tabiyat
تیری,teri
سجدے,sajday
سیٹ,set
اپس,apas
اشاره,ishaara
مری,meri
نیے,naye
باس,bas
آنسر,ans
ارسلان,arsalan
بنتی,banti
بھرتا,bharta
الکوحلٹارزن,alcohol
ميں,main
لینے,lene
ماڈ,mad
جمعہ,juma
افٹر,after
کویل,koyal
جوڑ,jork
پنجرے,pinjray
بٹھانا,bithana3
شہادت,shahadat
شکور,shakoor
رسمی,rasmi
کين,keen
تیرے,tere
رحمان,rehman
ہوتا,hota
زینب,zainab
ارباز,arbaz20
پیتا,kpeeta
تجھے,tujhe
حیدر,hydrabad
قندیل,qandeel
الحمد,alhamdolillah
منانے,manane
انگلیوں,ungliyon
اکر,iccr
٢٠,20
رہنا,rehna
بادام,badaam
گلیاں,galia
پروگراممير,programmer
وانٹ,want
هاف,half
تھیں,thin
بيرن,burn
ڈور,door
باته,bathroom
بروڈر,bro
لڑکیوں,lrkion
بخیر,bakhair
سرداروں,sardaron
گيل,gul
لوگوں,logon
لکي,like
بناؤ,bnao
گوٹ,got
سوں,sona
ارشد,arshad
مي,my
دین,deen
مزار,mazar
پھاڑ,phar
چاہنے,chahne
ٹوو,two
٢,2
حور,hoor
بدلے,badlay
رحمانہ,rehmana
ابو,abu
تنوع,tenu
آسی,aasi
قبریں,qbren
سمت,simt
بولو,bolo
سٹڈی,stdy
لکھنا,likhna
بدلتی,badalti
پڑھنا,parhna
ڈوب,doob
خطرناک,khatarnak
گريٹ,great
سمجھ,smj
توہین,toheen
٣,3
طالبعلم,talabilm
شق,shuk
۱۱,11pmparya
دبا,dba
ہوں,hun
آفریدی,afridi
بسیں,basen
کارڈ,card
علینا,alina
سچی,sachi
جیسی,jesi
امریکہ,america
نیلی,neeli302
نواب,nawab
چپ,chup
هیلپ,help
دشت,dasht
کیونکہ,q
گردی,gardi
سدا,sada
دفا,dafa
گلو,glow
آؤں,aao
کردی,krdi
لڑکیاں,larkian
دشمنی,dushmane
ولڈ,old
جوب,job
سینڈ,send
فلاگ,flag
٢٥٠,250
چوٹ,chot
ناصر,nasir
پریت,preet
دھوکا,dhoka
تول,tol
ميز,maiz
ھوتا,hota
پحلوسوپحير,philosopher
شیاء,shia
نڈھال,nidhal
ييي,eye
گووڈ,good
جونی,jouni
زرداری,zardari
کشمکش,kashmakash
الکوہو,alcohol
ہیں,hain
جسٹ,just
لادن,laden
مخاطب,mukhatib
کرکے,karke
روڈ,road
خلا,khula
علاوہ,ilawa
لوگ,log
خوف,khof
جگایا,jagaya
بار,bar
مانی,mani
درجے,darje
کامياب,kamyaab
جلیل,jalil10
اجالے,ujaly
کھانسی,khaansi
گھر,ghar
لڑی,lari
میمبر,membr
کہتے,kehte
مٹتے,mittay
پڑتا,parta
سنان,sunan
امیدوں,umeedon
سوا,siwa
چیتے,cheetiye
سپرد,spurd
ہاہاہا,hahaha
کیسی,kesi
تیسری,kotesri
ماجد,majid
فوللو,follow
کمان,kaman
منسوب,mansoobtum
جانِ,jan
حسیب,haseeb
مٹھاس,mithasjab
سیلاب,selab
کھیلتا,kheilta
واسطہ,wasta
بلوچی,balochi
چلی,chali
ہلچل,halchal
١٥,15
جیتا,jeeta
پختو,pukhto
ادھورا,adhoraø¤œ£ent
ڈیلی,daily
خواہش,khwahish
دادا,dada
کون,kon
نمی,nami
ڈوینگ,doing
ماہیا,mahiyarab
ثنا,sana
موج,moj
بنایا,bnaya
حیات,hyat
تجھ,tujh
لیموں,limu
اسلامیک,islamic
ٹرپ,trip
خاموشی,khamoshi
دہی,dehe
موبلے,mobile
تروته,truth
ملاقات,mulaqat
وفات,wafat
پھیلاتا,phelata
تہ,tha
اجمل,ajmalmmdaslam
بھائ,bhai
سویرا,sawera
سلاپ,slap
8,8
کٹوبير,october
مٹانا,mitana
گوڈ,god
ابھرنے,ubharnay
یوٹ,your
پرنس,prince
رے,re
ملٹی,multitecsawariya
سونو,sonu
جاز,jazzy
بها,baha
ملاوٹ,milawt
تنگ,tang
خوشیوں,khushiyon
ڈے,de
خطرے,khatre
جلنے,jlne
بٹے,btain
لو,lo
گیں,gain
کال,kal
ملی,mili
زنا,zana
ٹالک,talkshalk
آپکو,apko
جوکس,jokes
سکرین,scren
٥٠٠,500
نيٹ,net
نیازی,niazi011
جانی,jani
اسيمبلي,assembly
بیٹھی,bethy
چی,che
پوچھا,pocha
اپ,ap
روشن,roshan
برين,brain
سکپ,skip
جینا,jeena
جلدی,jaldi
کھیل,khel
آلسو,also
حونور,honor
وحشت,wehshat
